01/12/1974;658,737;82,375;211,859
01/01/1975;391,171;88,171;195,474
01/02/1975;572,447;57,882;133,113
01/03/1975;292,626;28,573;83,533
01/04/1975;54,957;14,964;24,508
01/05/1975;53,996;16,682;29,296
01/06/1975;75,64;17,87;26,832
01/07/1975;58,871;26,408;34,523
01/08/1975;45,669;27,844;31,994
01/09/1975;61,881;31,57;37,857
01/10/1975;164,963;33,899;67,12
01/11/1975;96,56;44,78;59,856
01/12/1975;217,788;42,157;108,555
01/01/1976;224,47;44,78;83,925
01/02/1976;175,111;54,957;80,862
01/03/1976;107,812;27,122;56,86
01/04/1976;95,342;25,005;44,604
01/05/1976;49,298;23,634;31,431
01/06/1976;43,024;28,573;32,851
01/07/1976;40,446;35,491;38,985
01/08/1976;49,298;41,298;44,69
01/09/1976;60,871;46,565;53,39
01/10/1976;76,745;57,882;66,402
01/11/1976;268,407;76,745;117,485
01/12/1976;458,448;112,978;241,388
01/01/1977;310,015;71,283;131,333
01/02/1977;566,226;54,957;194,658
01/03/1977;109,094;52,095;76,559
01/04/1977;166,975;20,349;43,842
01/05/1977;62,898;26,408;38,063
01/06/1977;48,38;31,57;38,458
01/07/1977;48,38;30,056;36,167
01/08/1977;39,601;33,115;35,85
01/09/1977;52,095;40,446;46,724
01/10/1977;175,111;53,042;81,746
01/11/1977;251,898;55,925;102,631
01/12/1977;204,642;65,991;91,112
01/01/1978;282,85;71,283;102,403
01/02/1978;240,334;69,146;133,207
01/03/1978;312,528;114,285;169,895
01/04/1978;106,536;65,991;80,599
01/05/1978;187,568;47,469;68,116
01/06/1978;151,119;39,601;68,24
01/07/1978;55,925;42,157;49,099
01/08/1978;114,285;53,996;64,366
01/09/1978;191,787;65,991;85,896
01/10/1978;171,026;77,858;93,154
01/11/1978;404,875;99,016;162,341
01/12/1978;353,697;114,285;189,072
01/01/1979;759,527;130,247;325,714
01/02/1979;652,2;133,96;331,937
01/03/1979;335,464;37,934;139,451
01/04/1979;100,253;36,298;70,099
01/05/1979;84,674;43,024;60,555
